Academy of En	ET 88C,FRIA C T 	ET 88C	FRIA C T 					3
Psychology	PSYCH 11,BACINO J R	PSYCH 11	BACINO J R	21	15	5		49
Psychology	PSYCH 11,BACINO J R	PSYCH 11	BACINO J R	13	3	3		32
Psychology	PSYCH 11,GRACE Y H	PSYCH 11	GRACE Y H	14	9	3		38
Psychology	PSYCH 11,MCGRATH M T	PSYCH 11	MCGRATH M T	23	9	1		43
Psychology	PSYCH 11,GRACE Y H	PSYCH 11	GRACE Y H	16	4	6		42
Psychology	PSYCH 11,PARISE W A	PSYCH 11	PARISE W A	32	5	5		49
Psychology	PSYCH 11,PARISE W A	PSYCH 11	PARISE W A	15	7	6	1	45
Psychology	PSYCH 11,BERG D S	PSYCH 11	BERG D S	6	11	10		43
Psychology	PSYCH 11,SCHWARTZ A F	PSYCH 11	SCHWARTZ A F	17	15	7		48
Psychology	PSYCH 11,MOSLEY K R	PSYCH 11	MOSLEY K R	31	3	2		42
Psychology	PSYCH 11,DAVISON L L	PSYCH 11	DAVISON L L	11	15	5		40
Psychology	PSYCH 13,GHANE A	PSYCH 13	GHANE A	19	10	4		41
Psychology	PSYCH 13,GHANE A	PSYCH 13	GHANE A	16	11	2		40
Psychology	PSYCH 13,SNYDER A	PSYCH 13	SNYDER A	16	8	2		41
Psychology	PSYCH 13,TINGEN I W	PSYCH 13	TINGEN I W	9	12	8		40
Psychology	PSYCH 14,O'LEARY B A	PSYCH 14	O'LEARY B A	5	10	4		38
Psychology	PSYCH 14,DEVICH-NAVARRO M	PSYCH 14	DEVICH-NAVARRO M	18	6	8		43
Psychology	PSYCH 19,LAURENT M G	PSYCH 19	LAURENT M G	7	8	11		38
Psychology	PSYCH 19,FEIGER H T	PSYCH 19	FEIGER H T	9	11	8		40
Psychology	PSYCH 19,DRUKER S L	PSYCH 19	DRUKER S L	16	7	5		29
Psychology	PSYCH 19,DRUKER S L	PSYCH 19	DRUKER S L	20	6	1		30
Psychology	PSYCH 19,DAVISON L L	PSYCH 19	DAVISON L L	12	10	5		32
Psychology	PSYCH 19,DAVISON L L	PSYCH 19	DAVISON L L	14	13	6		42
Psychology	PSYCH 25,DE VILLERS L C	PSYCH 25	DE VILLERS L C	12	14	6		46
Psychology	PSYCH 25,DE VILLERS L C	PSYCH 25	DE VILLERS L C	16	6	3		38
Psychology	PSYCH 40,SCHWARTZ A F	PSYCH 40	SCHWARTZ A F	6				18
Student Life	STUGOV 81,BLAYDES B C	STUGOV 81	BLAYDES B C	10	3	2	1	23
Theatre Arts	TH ART 2,JONES J L	TH ART 2	JONES J L	18	6	6		43
Theatre Arts	TH ART 2,ADAIR-LYNCH T A	TH ART 2	ADAIR-LYNCH T A	63	5	2		83
Theatre Arts	TH ART 2,JONES J L	TH ART 2	JONES J L	16	7	7		48
Theatre Arts	TH ART 2,ANDERSON C B	TH ART 2	ANDERSON C B	18	4	5		40
Theatre Arts	TH ART 5,ADAIR-LYNCH T A	TH ART 5	ADAIR-LYNCH T A	68	9	5		94
Theatre Arts	TH ART 5,HARROP A M	TH ART 5	HARROP A M	28	13	4	1	49
Theatre Arts	TH ART 10A,ROBBINS C R	TH ART 10A	ROBBINS C R	17	5	3	1	32
Theatre Arts	TH ART 10A,DUNN K S	TH ART 10A	DUNN K S	9	7			28
Theatre Arts	TH ART 13,ROBBINS C R	TH ART 13	ROBBINS C R	7	6	2	3	31
Theatre Arts	TH ART 15A,SAWOSKI P	TH ART 15A	SAWOSKI P	21	2			29
Theatre Arts	TH ART 18A,ANZELC L L	TH ART 18A	ANZELC L L	19				24
Theatre Arts	TH ART 18B,ANZELC L L	TH ART 18B	ANZELC L L	12	1	2		18
Theatre Arts	TH ART 18C,ANZELC L L	TH ART 18C	ANZELC L L	6	2			9
Theatre Arts	TH ART 20,ALLEN L A	TH ART 20	ALLEN L A	14	5			22
Theatre Arts	TH ART 22,ALLEN L A	TH ART 22	ALLEN L A	7	9	5		29
Theatre Arts	TH ART 25,DALZELL A S	TH ART 25	DALZELL A S	4	10	2		30
Theatre Arts	TH ART 26,HLUDZIK E A	TH ART 26	HLUDZIK E A	2	5	4		13
Theatre Arts	TH ART 28A,ADAIR-LYNCH T A	TH ART 28A	ADAIR-LYNCH T A	18	2	1		22
Theatre Arts	TH ART 41,PELLEGRINI V M	TH ART 41	PELLEGRINI V M	14	5	3		28
Theatre Arts	TH ART 41,ARBUES A N	TH ART 41	ARBUES A N	9	6	3		26
Theatre Arts	TH ART 41,ESFANDYARI S	TH ART 41	ESFANDYARI S	25	2	1		33
Theatre Arts	TH ART 41,CAPTOR R	TH ART 41	CAPTOR R	13	8	1		32
Theatre Arts	TH ART 41,JONES J L	TH ART 41	JONES J L	24	3	1		38
Theatre Arts	TH ART 41,GAGE P T	TH ART 41	GAGE P T	12	2	3		27
Theatre Arts	TH ART 41,HARROP A M	TH ART 41	HARROP A M	16		3		23
Theatre Arts	TH ART 41,ANDERSON C B	TH ART 41	ANDERSON C B	11	6	5		32
Theatre Arts	TH ART 42,MARTIN A F	TH ART 42	MARTIN A F	14	6			32
Theatre Arts	TH ART 42,MARTIN A F	TH ART 42	MARTIN A F	22				28
Theatre Arts	TH ART 42,CAMPBELL D A	TH ART 42	CAMPBELL D A	16	3	2		27
Theatre Arts	TH ART 44,HARROP A M	TH ART 44	HARROP A M	19				21
Theatre Arts	TH ART 45,JONES J L	TH ART 45	JONES J L	3				4
Theatre Arts	TH ART 46,ADAIR-LYNCH T A	TH ART 46	ADAIR-LYNCH T A	21	3	2		42
Theatre Arts	TH ART 50,HARROP A M	TH ART 50	HARROP A M	11				11
Theatre Arts	TH ART 51,HLUDZIK E A	TH ART 51	HLUDZIK E A	11				11
Theatre Arts	TH ART 51,HARROP A M	TH ART 51	HARROP A M	7				7
Theatre Arts	TH ART 52,SAWOSKI P	TH ART 52	SAWOSKI P	6				6
Theatre Arts	TH ART 55,ADAIR-LYNCH T A	TH ART 55	ADAIR-LYNCH T A	18				21
Theatre Arts	TH ART 88A,SAWOSKI P	TH ART 88A	SAWOSKI P	4				4
Theatre Arts	TH ART 88B,SAWOSKI P	TH ART 88B	SAWOSKI P	3				3
Theatre Arts	TH ART 88C,SAWOSKI P	TH ART 88C	SAWOSKI P	3				3
