Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Business	ACCTG 2,BERNSTEIN T D	ACCTG 2	BERNSTEIN T D	26	11	4		49
Business	ACCTG 2,LEVITON N J	ACCTG 2	LEVITON N J	19	17	7		46
Business	ACCTG 2,HUANG AI M	ACCTG 2	HUANG AI M	9	8	6		34
Business	ACCTG 2,LU M	ACCTG 2	LU M	19	3	12		38
Business	ACCTG 2,TRIPPETTI V J	ACCTG 2	TRIPPETTI V J	9	16	5		42
Business	ACCTG 2,KNIGHT R B	ACCTG 2	KNIGHT R B	14	13	6		45
Business	ACCTG 2,DANIEL C	ACCTG 2	DANIEL C	1	5	5		29
Business	ACCTG 2,BROOKINS G T	ACCTG 2	BROOKINS G T	3	4	7		31
Business	ACCTG 2,HANSON M P	ACCTG 2	HANSON M P	11	9	1	2	31
Business	ACCTG 2,BERNSTEIN T D	ACCTG 2	BERNSTEIN T D	10	9	5		34
Business	ACCTG 2,HUANG AI M	ACCTG 2	HUANG AI M	7	5	7		27
Business	ACCTG 2,HUANG AI M	ACCTG 2	HUANG AI M	4	7	1		19
Business	ACCTG 2,BERNSTEIN T D	ACCTG 2	BERNSTEIN T D	7	8	8		35
Business	ACCTG 2,DANIEL C	ACCTG 2	DANIEL C	5	2	6		29
Business	ACCTG 6,HUANG AI M	ACCTG 6	HUANG AI M	6	8	6	1	27
Business	ACCTG 7,HUANG AI M	ACCTG 7	HUANG AI M	7	7	3		23
Business	ACCTG 10A,LU M	ACCTG 10A	LU M	5	8	4	1	25
Business	ACCTG 10A,LU M	ACCTG 10A	LU M	7	9	2		22
Business	ACCTG 10A,LU M	ACCTG 10A	LU M	8	8	2		22
Business	ACCTG 10B,LU M	ACCTG 10B	LU M	7	6	1		19
Business	ACCTG 10B,LU M	ACCTG 10B	LU M	7	2	2		17
Business	ACCTG 10B,BROOKINS G T	ACCTG 10B	BROOKINS G T	5	1	1		22
Business	ACCTG 10C,HANSON M P	ACCTG 10C	HANSON M P	5	10	2		20
Business	ACCTG 10C,KIM J S	ACCTG 10C	KIM J S	5	3	3		20
Business	ACCTG 10C,KIM J S	ACCTG 10C	KIM J S	7	1		1	11
Business	ACCTG 11,CARBALLO P S	ACCTG 11	CARBALLO P S	18	7	2		29
Business	ACCTG 12,RESNICK W J	ACCTG 12	RESNICK W J	17	10	4		33
Business	ACCTG 12,RESNICK W J	ACCTG 12	RESNICK W J	13	9	2	1	28
Business	ACCTG 15,FITZGERALD R L	ACCTG 15	FITZGERALD R L	12	9	3		27
Business	ACCTG 15,HAIG J	ACCTG 15	HAIG J	7	15	8		38
Business	ACCTG 16,HAIG J	ACCTG 16	HAIG J	14	14	3		38
Business	ACCTG 21,HICKS L E	ACCTG 21	HICKS L E	10	4	3		38
Business	ACCTG 26,HALLIDAY‐ROBERT CA E	ACCTG 26	HALLIDAY‐ROBERT CA E	4	8	3		15
Business	ACCTG 31A,VALDIVIA O	ACCTG 31A	VALDIVIA O	24	10	3		41
Business	ACCTG 45,HALLIDAY P D	ACCTG 45	HALLIDAY P D	7	4	1		13
Business	AUTO 45,KAY D	AUTO 45	KAY D	24		2		31
Business	BUS 1,CHANDLER F G	BUS 1	CHANDLER F G	16	10	13		56
Business	BUS 1,SABOLIC P C	BUS 1	SABOLIC P C	9	30	3		51
Business	BUS 1,CHANDLER F G	BUS 1	CHANDLER F G	10	11	12		49
Business	BUS 1,KELLY MARCELLA A	BUS 1	KELLY MARCELLA A	30	16	8		65
Business	BUS 1,KELLY MARCELLA A	BUS 1	KELLY MARCELLA A	17	23	13	1	70
Business	BUS 1,KELLY MARCELLA A	BUS 1	KELLY MARCELLA A	23	16	11		60
Business	BUS 1,ROPER‐CONLEY C	BUS 1	ROPER‐CONLEY C	7	22	4		51
Business	BUS 1,CHANDLER F G	BUS 1	CHANDLER F G	12	6	4		36
Business	BUS 1,CHANDLER F G	BUS 1	CHANDLER F G	9	6	5		35
Business	BUS 1,SABOLIC P C	BUS 1	SABOLIC P C	11	9	5		36
Business	BUS 1,VEAS S	BUS 1	VEAS S	48	2			55
Business	BUS 1,VEAS S	BUS 1	VEAS S	49	4	1		56
Business	BUS 1,CHANDLER F G	BUS 1	CHANDLER F G	15	5	4		37
Business	BUS 1,MANDELBAUM A B	BUS 1	MANDELBAUM A B	12	4	5		37
Business	BUS 1,TUCKER J L	BUS 1	TUCKER J L	10	3	8	1	41
Business	BUS 1,SHISHIDO K M	BUS 1	SHISHIDO K M	18	9	6	1	45
Business	BUS 1,VEAS S	BUS 1	VEAS S	65	4	1		73
Business	BUS 1,OLIVERI J S	BUS 1	OLIVERI J S	15	12	4		39
Business	BUS 1,ROPER‐CONLEY C	BUS 1	ROPER‐CONLEY C	24	11	2		51
Business	BUS 5,RADOS‐CLOKE A	BUS 5	RADOS‐CLOKE A	8	12	13		46
Business	BUS 5,RADOS‐CLOKE A	BUS 5	RADOS‐CLOKE A	15	10	6		48
Business	BUS 5,RADOS‐CLOKE A	BUS 5	RADOS‐CLOKE A	8	16	10		49
Business	BUS 5,NASSER D M	BUS 5	NASSER D M	17	16	9		45
Business	BUS 5,DOWNS J M	BUS 5	DOWNS J M	3	3	10	1	39
Business	BUS 5,O'NEAL S L	BUS 5	O'NEAL S L	11	9	5		38
Business	BUS 5,NASSER D M	BUS 5	NASSER D M	7	10	4	4	32
Business	BUS 5,HALLIDAY‐ROBERT CA E	BUS 5	HALLIDAY‐ROBERT CA E	6	15	1	1	35
Business	BUS 5,KLUGMAN E B	BUS 5	KLUGMAN E B	4	9	10		37
Business	BUS 5,SINDELL S M	BUS 5	SINDELL S M	6	8	11		35
Business	BUS 5,KLUGMAN E B	BUS 5	KLUGMAN E B	9	8	6		36
Business	BUS 5,KLUGMAN E B	BUS 5	KLUGMAN E B	5	13	7		40
Business	BUS 6,HALLIDAY‐ROBERT CA E	BUS 6	HALLIDAY‐ROBERT CA E	5	5	7		22
Business	BUS 11,MARGOLIS D L	BUS 11	MARGOLIS D L	3	12	3		30
Business	BUS 18,ULBRICHT T	BUS 18	ULBRICHT T	2	3	6		35
Business	BUS 20,SABOLIC P C	BUS 20	SABOLIC P C	6	14	12		44
Business	BUS 20,KELLY MARCELLA A	BUS 20	KELLY MARCELLA A	26	12	8	1	63
Business	BUS 20,VEAS S	BUS 20	VEAS S	17	8	5	1	45
Business	BUS 20,VEAS S	BUS 20	VEAS S	20	8	5		47
Business	BUS 20,VEAS S	BUS 20	VEAS S	27	14	4	1	55
Business	BUS 20,OLIVERI J S	BUS 20	OLIVERI J S	8	11	3		34
Business	BUS 21,IVAS L	BUS 21	IVAS L	27	6	1		46
Business	BUS 22,IVAS L	BUS 22	IVAS L	16	7	1		38
Business	BUS 23,VEAS S	BUS 23	VEAS S	27	6	3		51
Business	BUS 26,COPLEN J S	BUS 26	COPLEN J S	8	11	3		32
Business	BUS 26,COPLEN J S	BUS 26	COPLEN J S	7	4	3		30
